Page,Section,,English,slovenčina ,Remark
Dashboard - Professional Overview,OVERVIEW CARDS,Card label,Reviews Received,Prijaté recenzie,
Dashboard - Professional Overview,PAGE HEADER,,Welcome back,Vitajte späť,
Dashboard - Professional Overview,PAGE HEADER,Description,Here's what's happening with your photography business today.,"Tu je dnešný prehľad vášho účtu.
",
Dashboard - Professional Overview,INCOME OVERVIEW,Section header,Earning,Zárobky,
Dashboard - Professional Overview,UPCOMING EVENTS,Section header,Upcoming Events,Plánované objednávky,
Dashboard - Professional Overview,BAR CHART TOOLTIP,Tooltip text,Month: ,Mesiac:,
Dashboard - Professional Overview,BAR CHART TOOLTIP,Tooltip text,Earnings: ,Zárobky: ,
Dashboard - Professional Overview,OVERVIEW CALENDAR,,Mo,Po,
Dashboard - Professional Overview,OVERVIEW CALENDAR,,Tu,Ut,
Dashboard - Professional Overview,OVERVIEW CALENDAR,,We,St,
Dashboard - Professional Overview,OVERVIEW CALENDAR,,Th,Št,
Dashboard - Professional Overview,OVERVIEW CALENDAR,,Fr,Pi,
Dashboard - Professional Overview,OVERVIEW CALENDAR,,Sa,So,
Dashboard - Professional Overview,OVERVIEW CALENDAR,,Su,Ne,
,,,,,
,,,,,
,,,,,
Dashboard - Calendar,PAGE HEADER,Page title,Calendar,Kalendár,
Dashboard - Calendar,CALENDAR BODY,,Mo,Po,
Dashboard - Calendar,CALENDAR BODY,,Tu,Ut,
Dashboard - Calendar,CALENDAR BODY,,We,St,
Dashboard - Calendar,CALENDAR BODY,,Th,Št,
Dashboard - Calendar,CALENDAR BODY,,Fr,Pi,
Dashboard - Calendar,CALENDAR BODY,,Sa,So,
Dashboard - Calendar,CALENDAR BODY,,Su,Ne,
,,,,,
,,,,,
,,,,,
Dashboard - Event Orders,PAGE HEADER,Page title,Event Orders,Objednávky,
Dashboard - Event Orders,OVERVIEW CARDS,Card label,Events Completed,Dokončené objednávky,
Dashboard - Event Orders,OVERVIEW CARDS,Card label,Events In Progress,Prebiehajúce objednávky,
Dashboard - Event Orders,OVERVIEW CARDS,Card label,Upcoming Events,Nadchádzajúce objednávky,
Dashboard - Event Orders,OVERVIEW CARDS,Card label,Pending Events,Čakajúce objednávky,
Dashboard - Event Orders,TABS,Tab label,Pending Request,Čakajúca žiadosť,
Dashboard - Event Orders,TABS,Tab label,Waiting for Payment,Čaká sa na platbu,
Dashboard - Event Orders,TABS,Tab label,Upcoming Event,Nadchádzajúce objednávky,
Dashboard - Event Orders,TABS,Tab label,In Progress,Prebieha,
Dashboard - Event Orders,TABS,Tab label,Delivered,Doručené,
Dashboard - Event Orders,TABS,Tab label,Cancel Confirmation,Potvrdenie zrušenia,
Dashboard - Event Orders,TABS,Tab label,Cancelled,Zrušené,
Dashboard - Event Orders,TABLE COLUMNS,Table header,Client Name,Meno klienta,
Dashboard - Event Orders,TABLE COLUMNS,Table header,Service Type,Typ služby,
Dashboard - Event Orders,TABLE COLUMNS,Table header,Event Name,Názov,
Dashboard - Event Orders,TABLE COLUMNS,Table header,Location,Lokalita,
Dashboard - Event Orders,TABLE COLUMNS,Table header,Event Date,Dátum,
Dashboard - Event Orders,TABLE COLUMNS,Table header,Price,Cena,
Dashboard - Event Orders,TABLE COLUMNS,Table header,Action,Akcia,
Dashboard - Event Orders,TABLE COLUMNS,Button text,View Details,Zobraziť detaily,
,,,,,
,,,,,
,,,,,
Dashboard - Sidebar Menu,USER MENU,Menu item link text,Overview,Prehľad,
Dashboard - Sidebar Menu,USER MENU,Menu item link text,Event Orders,Foto/video objednávky,
Dashboard - Sidebar Menu,USER MENU,Menu item link text,Gear Orders,Objednávky z bazáru,
Dashboard - Sidebar Menu,USER MENU,Menu item link text,Extension Requests,Žiadosti o predĺženie,
Dashboard - Sidebar Menu,USER MENU,Menu item link text,My Payments,Moje platby,
Dashboard - Sidebar Menu,USER MENU,Menu item link text,My Workshop,Prihlásené kurzy,
Dashboard - Sidebar Menu,USER MENU,Menu item link text,My Reviews,Recenzie,
Dashboard - Sidebar Menu,USER MENU,Menu item link text,My Community Posts,Príspevky vo fóre,
Dashboard - Sidebar Menu,USER MENU,Menu item link text,Profile,Profil,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Overview,Prehľad,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Event Orders,Foto/video objednávky,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Gear Order,Objednávka z bazáru,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,MarketPlace,Bazár,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Workshop,Vytvoriť kurz,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,My Workshop,Prihlásené kurzy,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Packages,Balíky služieb,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Calendar,Kalendár,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Review,Recenzie,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,My Community Posts,Príspevky vo fóre,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Frafol Choice,Odporúča Frafol,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Earning,Zárobky,
Dashboard - Sidebar Menu,PROFESSIONAL MENU,Menu item link text,Profile,Profil,
,,,,,
,,,,,
,,,,,
Dashboard - My Payments,PAGE HEADER,Page title,Payment,Platby,
Dashboard - My Payments,OVERVIEW CARDS,Card label,Total Spent,Spolu zaplatené,
Dashboard - My Payments,OVERVIEW CARDS,Card label,Total Orders,Celkový počet objednávok,
Dashboard - My Payments,PAYMENT CARD,,User:,Používateľ:,
Dashboard - My Payments,PAYMENT CARD,Label (dynamic),Seller:,Predajca:,
Dashboard - My Payments,PAYMENT CARD,Label (dynamic),Workshop:,Kurz:,
Dashboard - My Payments,PAYMENT CARD,Button text,View Details,Zobraziť detaily,
Dashboard - My Payments,PAYMENT VIEW MODAL,Modal title,Transaction Details,Detaily transakcie,
Dashboard - My Payments,PAYMENT VIEW MODAL,Label,Date:,Dátum:,
Dashboard - My Payments,PAYMENT VIEW MODAL,Label,Type:,Typ:,
Dashboard - My Payments,PAYMENT VIEW MODAL,Label,Transaction ID:,ID transakcie:,
Dashboard - My Payments,PAYMENT VIEW MODAL,Label,Payment Method:,Spôsob platby:,
Dashboard - My Payments,PAYMENT VIEW MODAL,Label,Amount:,Suma:,
,,,,,
,,,,,
,,,,,
Dashboard - Professional Earnings,PAGE HEADER,Page title,Earning,Zárobky,
Dashboard - Professional Earnings,OVERVIEW CARDS,Card label,Total Earner,Celkové zároboky,
Dashboard - Professional Earnings,OVERVIEW CARDS,Card label,Events Earnings,Zárobky z foto/video objednávok,
Dashboard - Professional Earnings,OVERVIEW CARDS,Card label,Workshop Earnings,Zárobky z kurzov,
Dashboard - Professional Earnings,OVERVIEW CARDS,Card label,Gear Earnings,Zárobky z bazáru,
Dashboard - Professional Earnings,TABS,Tab label,Events Earnings,Zárobky z foto/video objednávok,
Dashboard - Professional Earnings,TABS,Tab label,Workshop Earnings,Zárobky z kurzov,
Dashboard - Professional Earnings,TABS,Tab label,Gear Earnings,Zárobky z bazáru,
Dashboard - Professional Earnings,EARNING VIEW MODAL,Modal title,Earning Details,Detaily zárobku,
Dashboard - Professional Earnings,EARNING TABLE COLUMNS,Table header,Client Name,Meno klienta,
Dashboard - Professional Earnings,EARNING TABLE COLUMNS,Table header,Service Type,Typ služby,
Dashboard - Professional Earnings,EARNING TABLE COLUMNS,Table header,Event Name,Názov podujatia,
Dashboard - Professional Earnings,EARNING TABLE COLUMNS,Table header,Amount,Suma,
Dashboard - Professional Earnings,EARNING TABLE COLUMNS,Table header,Status,Stav,
Dashboard - Professional Earnings,EARNING TABLE COLUMNS,Table header,Date,Dátum,
Dashboard - Professional Earnings,EARNING TABLE COLUMNS,Button text,View Details,Zobraziť detaily,
,,,,,
,,,,,
,,,,,
Dashboard - Order View Modal,MODAL TITLE,Modal title,Order Details,Detaily objednávky,
Dashboard - Order View Modal,ORDER TYPE,Order type label,Custom,Formulár,
Dashboard - Order View Modal,ORDER TYPE,Order type label,Direct,Balík,
Dashboard - Order View Modal,SERVICE TYPE,Service type label,Photography & Videography,Fotografia a video,
Dashboard - Order View Modal,ORDER INFO,Section heading,Order Information,Informácie o objednávke,
Dashboard - Order View Modal,ORDER INFO,,Order Date :,Dátum objednávky:,
Dashboard - Order View Modal,ORDER INFO,,Event Date :,Dátum podujatia:,
Dashboard - Order View Modal,ORDER INFO,,Expected Delivery Date :,Očakávaný dátum doručenia:,
Dashboard - Order View Modal,ORDER INFO,,Duration :,Trvanie:,
Dashboard - Order View Modal,ORDER INFO,,Status :,Stav:,
Dashboard - Order View Modal,ORDER INFO,Section heading,Professional Information,Informácie o tvorcovi,
Dashboard - Order View Modal,ORDER INFO,Section heading,Event Details,Detaily podujatia,
Dashboard - Order View Modal,ORDER INFO,,Location :,Miesto:,
Dashboard - Order View Modal,ORDER INFO,,Date :,Dátum:,
Dashboard - Order View Modal,ORDER INFO,,Time :,Čas:,
Dashboard - Order View Modal,PAYMENT,Section heading,Payment Details,Detaily platby,
Dashboard - Order View Modal,PAYMENT,,Amount Without Service Fee:,Suma bez servisného poplatku:,
Dashboard - Order View Modal,PAYMENT,Label,Total Amount,Celková suma,
Dashboard - Order View Modal,PAYMENT,Label,Budget Range,Rozsah rozpočtu,
Dashboard - Order View Modal,CANCEL REASON,Section heading,Cancel Reason,Dôvod zrušenia,
Dashboard - Order View Modal,CANCEL REASON,,Reason :,Dôvod:,
Dashboard - Order View Modal,BUTTONS,Button text (note: spelling 'Cancle' in source),Cancle Order,Zrušiť objednávku,
Dashboard - Order View Modal,BUTTONS,Button text,Decline Delivery Request,Zamietnuť žiadosť o doručenie,
Dashboard - Order View Modal,BUTTONS,Button text,Download Invoice,Stiahnuť faktúru,
Dashboard - Order View Modal,TOAST MESSAGES,Toast loading message,Downloading...,Sťahuje sa...,
Dashboard - Order View Modal,TOAST MESSAGES,Toast success message,Downloaded successfully!,Úspešne stiahnuté!,
Dashboard - Order View Modal,TOAST MESSAGES,Toast error message,Download failed,Sťahovanie zlyhalo,
Dashboard - Order View Modal,TEXT,Toggle text,Show less,Zobraziť menej,
Dashboard - Order View Modal,TEXT,Toggle text,Show more,Zobraziť viac,
Dashboard - Order View Modal,ALT TEXT,Alt text,photographer,fotograf,
,,,,,
,,,,,
,,,,,
Dashboard - Professional Review,PAGE HEADER,Page title,Review,Recenzie,
Dashboard - Professional Review,TABLE COLUMNS,Table header,Client Name,Meno klienta,
Dashboard - Professional Review,TABLE COLUMNS,Table header,Rating,Hodnotenie,
Dashboard - Professional Review,TABLE COLUMNS,Table header,Review,Recenzia,
Dashboard - Professional Review,TABLE COLUMNS,Table header,Date,Dátum,
Dashboard - Professional Review,TABLE COLUMNS,Table header,Action,Akcia,
Dashboard - Professional Review,TABLE COLUMNS,Button text,View Details,Zobraziť podrobnosti,
Dashboard - Professional Review,REVIEW VIEW MODAL,Modal title,Review Details,Podrobnosti recenzie,
Dashboard - Professional Review,REVIEW VIEW MODAL,,Client :,Klient:,
Dashboard - Professional Review,REVIEW VIEW MODAL,,Rating :,Hodnotenie:,
Dashboard - Professional Review,REVIEW VIEW MODAL,,Review :,Recenzia:,
Dashboard - Professional Review,REVIEW VIEW MODAL,,Date :,Dátum:,
,,,,,
,,,,,
,,,,,
Dashboard - User Review,PAGE HEADER,Page title,My Reviews,Moje recenzie,
,,,,,
,,,,,
,,,,,
Dashboard - Gear Marketplace (Professional),PAGE HEADER,Page title,MarketPlace,Bazár,
Dashboard - Gear Marketplace,ADD NEW,Button text,Add New Gear,Pridať nové príslušenstvo,
Dashboard - Gear Marketplace,TABLE COLUMNS,Table header,Image,Obrázok,
Dashboard - Gear Marketplace,TABLE COLUMNS,Table header,Name,Názov,
Dashboard - Gear Marketplace,TABLE COLUMNS,Table header,Category,Kategória,
Dashboard - Gear Marketplace,TABLE COLUMNS,Table header,Price Range,Cenové rozpätie,
Dashboard - Gear Marketplace,TABLE COLUMNS,Table header,Condition,Stav,
Dashboard - Gear Marketplace,TABLE COLUMNS,Table header,Status,Stav,
Dashboard - Gear Marketplace,TABLE COLUMNS,Table header,Action,Akcia,
Dashboard - Gear Marketplace,TABLE COLUMNS,Button text,Edit,Upraviť,
Dashboard - Gear Marketplace,TABLE COLUMNS,Button text,Delete,Odstrániť,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Section heading,Add New Gear,Pridať nové príslušenstvo,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Label,Gear Name,Názov príslušenstva,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Validation message,Gear Name is required,Názov príslušenstva je povinný ,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Label,Description,Popis,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Validation message,Description is required,Popis je povinný,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Label,Category,Kategória,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Validation message,Category is required,Kategória je povinná,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Label,Price,Cena,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Validation message,Price is required,Cena je povinná,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Label,Condition,Stav,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Validation message,Please select condition,Vyberte stav,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Label,Image,Obrázok,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Validation message,Image is required,Obrázok je povinný,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Condition option,New,Nové,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Condition option,Used,Použité,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Button text,Reset,Vymazať,
Dashboard - Gear Marketplace,ADD NEW GEAR FORM,Button text,Submit,Odoslať,
Dashboard - Gear Marketplace,TOAST MESSAGES,Toast success message,Gear created successfully!,Inzerát na príslušenstvo bol vytvorený a čaká na schválenie.,
,,,,,
,,,,,
,,,,,
Dashboard - Packages (Professional),PAGE HEADER,Page title,Packages,Balíky,
Dashboard - Packages,PACKAGE CARD,Package card title,Premium,Prémiový,
Dashboard - Packages,PACKAGE CARD,Package card title,Standard,Štandardný,
Dashboard - Packages,PACKAGE CARD,Package card title,Basic,Základný,
Dashboard - Packages,PACKAGE CARD,Button text,Add New Package,Pridať nový balík,
Dashboard - Packages,ADD PACKAGE MODAL,Modal title,Add New Package,Pridať nový balík,
Dashboard - Packages,ADD PACKAGE MODAL,Label,Package Title,Názov balíka,
Dashboard - Packages,ADD PACKAGE MODAL,Validation message,Package Title is required,Názov balíka je povinný,
Dashboard - Packages,ADD PACKAGE MODAL,Label,Description,Popis,
Dashboard - Packages,ADD PACKAGE MODAL,Validation message,Description is required,Popis je povinný,
Dashboard - Packages,ADD PACKAGE MODAL,Label,Price,Cena,
Dashboard - Packages,ADD PACKAGE MODAL,Validation message,Price is required,Cena je povinná,
Dashboard - Packages,ADD PACKAGE MODAL,Label,Features,Vlastnosti ,
Dashboard - Packages,ADD PACKAGE MODAL,Button text,Add Feature,Pridať vlastnosť ,
Dashboard - Packages,ADD PACKAGE MODAL,Button text,Submit,Odoslať,
,,,,,
,,,,,
,,,,,
Dashboard - Gear Order (Professional),PAGE HEADER,Page title,Gear Order,Objednávka príslušenstva,
Dashboard - Gear Order,TABLE COLUMNS,Table header,Product Name,Názov produktu,
Dashboard - Gear Order,TABLE COLUMNS,Table header,Buyer Name,Meno kupujúceho,
Dashboard - Gear Order,TABLE COLUMNS,Table header,Quantity,Množstvo,
Dashboard - Gear Order,TABLE COLUMNS,Table header,Total Price,Celková cena,
Dashboard - Gear Order,TABLE COLUMNS,Table header,Status,Stav,
Dashboard - Gear Order,TABLE COLUMNS,Table header,Action,Akcia,
Dashboard - Gear Order,TABLE COLUMNS,Button text,View Details,Zobraziť detaily,
Dashboard - Gear Order,VIEW MODAL,Modal title,Gear Order Details,Podrobnosti objednávky príslušenstva,
Dashboard - Gear Order,VIEW MODAL,,Product Name :,Názov produktu:,
Dashboard - Gear Order,VIEW MODAL,,Quantity :,Množstvo:,
Dashboard - Gear Order,VIEW MODAL,,Total Price :,Celková cena:,
Dashboard - Gear Order,VIEW MODAL,,Full Name :,Celé meno:,
Dashboard - Gear Order,VIEW MODAL,,Phone :,Telefón:,
Dashboard - Gear Order,VIEW MODAL,,Email :,E-mail:,
Dashboard - Gear Order,VIEW MODAL,,Address :,Adresa:,
Dashboard - Gear Order,VIEW MODAL,,Condition :,Stav:,
Dashboard - Gear Order,VIEW MODAL,,Status :,Stav:,
Dashboard - Gear Order,VIEW MODAL,Button text,Close,Zavrieť,
,,,,,
,,,,,
,,,,,
Dashboard - Workshops (Professional),PAGE HEADER,,Workshops,Kurzy,
Dashboard - Workshops,CARD,,Workshop Title,Názov kurzu,
Dashboard - Workshops,CARD,,Date :,Dátum:,
Dashboard - Workshops,CARD,,Time :,Čas:,
Dashboard - Workshops,CARD,,Location :,Miesto:,
Dashboard - Workshops,CARD,,Price :,Cena:,
Dashboard - Workshops,CARD,,Capacity :,Kapacita:,
Dashboard - Workshops,ADD WORKSHOP,,Add New Workshop,Pridať nový kurz,
Dashboard - Workshops,ADD WORKSHOP FORM,,Workshop Title,Názov kurzu,
Dashboard - Workshops,ADD WORKSHOP FORM,,Workshop Title is required,Názov kurzu je povinný,
Dashboard - Workshops,ADD WORKSHOP FORM,,Description,Popis,
Dashboard - Workshops,ADD WORKSHOP FORM,,Description is required,Popis je povinný.,
Dashboard - Workshops,ADD WORKSHOP FORM,,Date,Dátum,
Dashboard - Workshops,ADD WORKSHOP FORM,,Date is required,Dátum je povinný.,
Dashboard - Workshops,ADD WORKSHOP FORM,,Time,Čas,
Dashboard - Workshops,ADD WORKSHOP FORM,,Time is required,Čas je povinný.,
Dashboard - Workshops,ADD WORKSHOP FORM,,Location,Miesto,
Dashboard - Workshops,ADD WORKSHOP FORM,,Location is required,Miesto je povinné.,
Dashboard - Workshops,ADD WORKSHOP FORM,,Price,Cena,
Dashboard - Workshops,ADD WORKSHOP FORM,,Price is required,Cena je povinná.,
Dashboard - Workshops,ADD WORKSHOP FORM,,Capacity,Kapacita,
Dashboard - Workshops,ADD WORKSHOP FORM,,Capacity is required,Kapacita je povinná.,
Dashboard - Workshops,ADD WORKSHOP FORM,,Image,Obrázok,
Dashboard - Workshops,ADD WORKSHOP FORM,,Submit,Odoslať,
,,,,,
,,,,,
,,,,,
Dashboard - Frafol Choice,PAGE HEADER,Page heading,Frafol Choice,Odporúča Frafol,
Dashboard - Frafol Choice,PAGE HEADER,Subheading,Profile Highlighting for Higher Visibility,Zvýraznenie profilu pre vyššiu viditeľnosť,
Dashboard - Frafol Choice,PAGE HEADER,Description,Frafol Boost is a paid profile highlighting feature that makes your profile more visible to clients on the Frafol platform.,"Odporúča Frafol je platená funkcia zvýraznenia profilu, vďaka ktorej bude váš profil pre klientov na platforme Frafol viditeľnejší.",
Dashboard - Frafol Choice,FEATURES,Feature list item,Profile visibility on the Frafol homepage,Viditeľnosť profilu na domovskej stránke Frafol,
Dashboard - Frafol Choice,FEATURES,Feature list item,Higher placement in client search results,Vyššie umiestnenie vo výsledkoch vyhľadávania klientov,
Dashboard - Frafol Choice,FEATURES,Feature list item,Badge,Odznak,
Dashboard - Frafol Choice,FEATURES,Feature list item,Priority visibility compared to standard profiles,Prednostná viditeľnosť v porovnaní so štandardnými profilmi,
Dashboard - Frafol Choice,BADGE TEXT,Badge label,Frafol Choice,Odporúča Frafol,
Dashboard - Frafol Choice,ALT TEXT,Alt text,Frafol Choice Badge,Odznak Odporúča Frafol,
Dashboard - Frafol Choice,PRICING PLAN,Plan name,Frafol Choice,Odporúča Frafol ,
Dashboard - Frafol Choice,PRICING PLAN,Plan description (1 month),Short-term profile highlighting.,Krátkodobé zvýraznenie profilu.,
Dashboard - Frafol Choice,PRICING PLAN,Plan description (3 months),More stable profile visibility over a longer period.,Stabilnejšia viditeľnosť profilu počas dlhšieho obdobia.,
Dashboard - Frafol Choice,PRICING PLAN,Plan description (6 months),Long-term visibility with the best monthly price.,Dlhodobá viditeľnosť za najlepšiu mesačnú cenu.,
Dashboard - Frafol Choice,PRICING PLAN,Plan description (12 months),Full-year profile highlighting without interruptions.,Celoročné zvýraznenie profilu bez prerušenia.,
Dashboard - Frafol Choice,BADGE,Popular badge text,Best Value,Najvýhodnejšia ponuka,
,,,,,
,,,,,
,,,,,
Dashboard - Professional (Landing),PAGE HEADER,Page title,Dashboard,Prehľad,
Dashboard - Professional (Landing),WELCOME,Greeting,Welcome to your dashboard,Vitajte vo svojom prehľade,
,,,,,
,,,,,
,,,,,
Dashboard - Profile Settings (User),PAGE HEADER,Page title,Profile Settings,Nastavenia profilu,
Dashboard - Profile Settings (User),SECTIONS,Section heading,My Profile,Môj profil,
Dashboard - Profile Settings (User),SECTIONS,Section heading,Portfolio,Portfólio,
Dashboard - Profile Settings (User),MY PROFILE FORM,Label,Full Name,Celé meno,
Dashboard - Profile Settings (User),MY PROFILE FORM,Validation message,Full Name is required,Celé meno je povinné.,
Dashboard - Profile Settings (User),MY PROFILE FORM,Placeholder,Enter your full name,Zadajte svoje celé meno,
Dashboard - Profile Settings (User),MY PROFILE FORM,Label,Email,E-mail,
Dashboard - Profile Settings (User),MY PROFILE FORM,Label,Phone Number,Telefónne číslo,
Dashboard - Profile Settings (User),MY PROFILE FORM,Label,Town/City,Mesto,
Dashboard - Profile Settings (User),MY PROFILE FORM,Placeholder,Select your town,Vyberte svoje mesto,
Dashboard - Profile Settings (User),MY PROFILE FORM,Label,Profile Image,Profilový obrázok,
Dashboard - Profile Settings (User),MY PROFILE FORM,Button text,Save Changes,Uložiť zmeny,
Dashboard - Profile Settings (User),PORTFOLIO,Button text,Add Image,Pridať obrázok,
Dashboard - Profile Settings (User),TOAST MESSAGES,Toast success message,Profile updated successfully!,Profil bol úspešne aktualizovaný!,
Dashboard - Profile Settings (User),TOAST MESSAGES,Toast loading message,wait a moment...,"Čakajte, prosím...",
,,,,,
,,,,,
,,,,,
Dashboard - Profile Settings (Professional),PAGE HEADER,Page title,Profile Settings,Nastavenia profilu,
Dashboard - Profile Settings (Professional),SECTIONS,Section heading,My Profile,Môj profil,
Dashboard - Profile Settings (Professional),SECTIONS,Section heading,Portfolio,Portfólio,
Dashboard - Profile Settings (Professional),MY PROFILE FORM,Label,Full Name,Celé meno,
Dashboard - Profile Settings (Professional),MY PROFILE FORM,Label,Phone Number,Telefónne číslo,
Dashboard - Profile Settings (Professional),MY PROFILE FORM,Label,Town/City,Mesto,
Dashboard - Profile Settings (Professional),MY PROFILE FORM,Label,Bio/About,O mne,
Dashboard - Profile Settings (Professional),MY PROFILE FORM,Button text,Save Changes,Uložiť zmeny,
Dashboard - Profile Settings (Professional),TOAST MESSAGES,Toast success message,Profile updated successfully!,Profil bol úspešne aktualizovaný!,
Dashboard - Profile Settings (Professional),TOAST MESSAGES,Toast loading message,wait a moment...,"Čakajte, prosím...",
,,,,,
,,,,,
,,,,,
Message Layout,MESSAGE LIST,Empty state text,No Messages Yet,Zatiaľ žiadne správy,
Message Layout,MESSAGE LIST,Empty state description,Start a conversation with a professional or client,Začnite konverzáciu s tvorcami alebo klientom,
Message Layout,SEARCH,Search placeholder,Search messages,Hľadať v správach,
Message Layout,CHAT,Input placeholder,Type a message...,Napíšte správu...,
Message Layout,CHAT,Button text,Send,Odoslať,
