Page,Section,,English,slovenčina ,Remark
Auth - Sign In,ALT TEXT,Alt text,logo,logo,
,,,,,
,,,,,
,,,,,
Auth - Join Frafol,PAGE HEADER,,Join Frafol,Pridajte sa k Frafolu,
Auth - Join Frafol,PAGE HEADER,,Choose how you want to use our platform,"Vyberte si, ako chcete používať našu platformu",
Auth - Join Frafol,CARD,,Photographer/Videographer,Fotograf/kameraman,
Auth - Join Frafol,CARD,,Showcase your work and find new clients,Prezentujte svoju prácu a nájdite nových klientov,
Auth - Join Frafol,CARD,,Regular User,Klient,
Auth - Join Frafol,CARD,,Find skilled photographers/ videographers for your needs,Nájdite skúsených fotografov/videografov podľa svojich potrieb,
Auth - Join Frafol,BUTTON,,Continue,Pokračovať,
Auth - Join Frafol,LINKS,,Already have an account?,Už máte účet?,
Auth - Join Frafol,LINKS,,Sign In,Prihlásiť sa,
,,,,,
,,,,,
,,,,,
Auth - Update Password,PAGE HEADER,Page title,Reset Your Password,Obnovte si heslo,
Auth - Update Password,FORM,Label,Password,Heslo,
Auth - Update Password,FORM,Placeholder,Enter your password,Zadajte svoje heslo,
Auth - Update Password,FORM,Validation message,Password is required,Heslo je povinné,
Auth - Update Password,FORM,Validation message,Password must be at least 8 characters,Heslo musí mať aspoň 8 znakov,
Auth - Update Password,FORM,Validation message,Password must include at least one uppercase letter and one special character,Heslo musí obsahovať aspoň jedno veľké písmeno a jeden špeciálny znak,
Auth - Update Password,FORM,Label,Confirm Password,Potvrďte heslo,
Auth - Update Password,FORM,Placeholder,Confirm your password,Potvrďte svoje heslo,
Auth - Update Password,FORM,Validation message,Confirm Password is required,Potvrdenie hesla je povinné,
Auth - Update Password,FORM,Validation message,Password does not match!,Heslá sa nezhodujú!,
Auth - Update Password,FORM,Button text,Reset Password,Obnoviť heslo,
Auth - Update Password,TOAST MESSAGES,Toast loading message,wait a moment...,Chvíľu počkajte...,
Auth - Update Password,TOAST MESSAGES,Toast success message,Password changed successfully!,Heslo bolo úspešne zmenené!,
,,,,,
Auth - Choose Role,PAGE HEADER,Heading,Choose Your Role,Vyberte si svoju rolu,
Auth - Choose Role,PAGE HEADER,Subheading,Select your professional role to continue,Pokračujte výberom svoj typ služby,
Auth - Choose Role,FORM,Select label,Professional Role,"Typ služby
",
Auth - Choose Role,FORM,Select placeholder,Select your role,Vyberte svoju rolu,
Auth - Choose Role,FORM,Validation message,Please select your role,Vyberte svoju rolu,
Auth - Choose Role,FORM,Dropdown option,Photographer,Fotograf,
Auth - Choose Role,FORM,Dropdown option,Videographer,Videograf,
Auth - Choose Role,FORM,Dropdown option,Both,Fotograf aj Kameraman,
Auth - Choose Role,BUTTON,Button text,Continue,Pokračovať,
,,,,,
Auth - Choose Specialization,PAGE HEADER,Heading,Your Specializations,Kategórie služieb,
Auth - Choose Specialization,PAGE HEADER,Subheading,Select areas where you want to showcase your work,"Vyberte kategórie, v ktorých chcete prezentovať svoju prácu",
,,,,,
Auth - Personal Information,PAGE HEADER,Heading,Personal Information,Osobné údaje,
Auth - Personal Information,PAGE HEADER,Subheading,Enter your personal details to continue,Pokračujte zadaním svojich osobných údajov,
Auth - Personal Information,FORM,Label,Full Name,Celé meno,
Auth - Personal Information,FORM,Validation message,Full Name is required,Celé meno je povinné,
Auth - Personal Information,FORM,Placeholder,Enter your full name,Zadajte svoje celé meno,
Auth - Personal Information,FORM,Label,Phone Number,Telefónne číslo,
Auth - Personal Information,FORM,Validation message,Phone Number is required,Telefónne číslo je povinné,
Auth - Personal Information,FORM,Placeholder,Enter your phone number,Zadajte svoje telefónne číslo,
Auth - Personal Information,FORM,Label,Upload Profile Image,Nahrať profilovú fotografiu,
Auth - Personal Information,FORM,Label,Town/City,Mesto,
Auth - Personal Information,FORM,Validation message,Please select a town,Vyberte mesto,
Auth - Personal Information,FORM,Placeholder,Select your town,Vyberte svoje mesto,
Auth - Personal Information,BUTTON,Button text,Continue,Pokračovať,
,,,,,
Auth - Additional Information,PAGE HEADER,Heading,Additional Information,Ďalšie informácie,
Auth - Additional Information,PAGE HEADER,Subheading,Provide more details about your services,Uveďte ďalšie informácie o svojich službách,
Auth - Additional Information,FORM,Label,About Yourself/Bio,O sebe,
Auth - Additional Information,FORM,Validation message,About is required,Popis je povinný,
Auth - Additional Information,FORM,Placeholder,Write a short bio about yourself and your work,Napíšte krátke bio o sebe a svojej práci,
Auth - Additional Information,FORM,Label,Facebook,Facebook,
Auth - Additional Information,FORM,Label,Instagram,Instagram,
Auth - Additional Information,FORM,Label,TikTok,TikTok,
Auth - Additional Information,FORM,Label,YouTube,YouTube,
Auth - Additional Information,BUTTON,Button text,Continue,Pokračovať,
,,,,,
Auth - Legal Invoice,PAGE HEADER,Heading,Legal / Invoice Details,Fakturačné údaje,
Auth - Legal Invoice,PAGE HEADER,Subheading,Enter your legal information for invoicing,Zadajte svoje údaje potrebné na fakturáciu,
Auth - Legal Invoice,FORM,Label,Street Address,Ulica a číslo,
Auth - Legal Invoice,FORM,Validation message,Street Address is required,Ulica a číslo sú povinné,
Auth - Legal Invoice,FORM,Placeholder,Enter street address,Zadajte ulicu a číslo,
Auth - Legal Invoice,FORM,Label,Town/City,Mesto,
Auth - Legal Invoice,FORM,Validation message,Town/City is required,Mesto je povinné,
Auth - Legal Invoice,FORM,Placeholder,Select your town,Vyberte svoje mesto,
Auth - Legal Invoice,FORM,Label,Zip Code,PSČ,
Auth - Legal Invoice,FORM,Validation message,Zip Code is required,PSČ je povinné,
Auth - Legal Invoice,FORM,Placeholder,Enter zip code,Zadajte PSČ,
Auth - Legal Invoice,FORM,Label,Company Name,Obchodné meno,
Auth - Legal Invoice,FORM,Placeholder,Enter company name,Zadajte obchodné meno,
Auth - Legal Invoice,FORM,Label,IČO,IČO,
Auth - Legal Invoice,FORM,Placeholder,Enter IČO,Zadajte IČO,
Auth - Legal Invoice,FORM,Label,DIČ,DIČ,
Auth - Legal Invoice,FORM,Placeholder,Enter DIČ,Zadajte DIČ,
Auth - Legal Invoice,FORM,Label,IČ DPH,IČ DPH,
Auth - Legal Invoice,FORM,Placeholder,Enter IČ DPH,Zadajte IČ DPH,
Auth - Legal Invoice,CHECKBOX,Checkbox label,I confirm that I am registered in the VAT system (IČ DPH),"Potvrdzujem, že som registrovaný/-á v systéme IČ DPH",Where is this?
Auth - Legal Invoice,BUTTON,Button text,Continue,Pokračovať,
,,,,,
Auth - Professional OTP Verify,PAGE HEADER,Heading,Verify Your Account,Overte svoj účet,
Auth - Professional OTP Verify,PAGE HEADER,Subheading,Enter the verification code sent to your email,Zadajte overovací kód odoslaný na váš e-mail,
Auth - Professional OTP Verify,FORM,Label,OTP Code,Overovací kód,
Auth - Professional OTP Verify,FORM,Placeholder,Enter OTP,Zadajte Overovací kód,
Auth - Professional OTP Verify,FORM,Validation message,Code is required,Overovací kód je povinný,
Auth - Professional OTP Verify,BUTTON,Button text,Verify,Overiť,
Auth - Professional OTP Verify,TOAST,Toast success message,OTP verified successfully!,Overovací kód bol úspešne overený!,
Auth - Professional OTP Verify,TOAST,Toast loading message,wait a moment...,"Čakajte, prosím...",
Auth - Professional OTP Verify,LINKS,Link text,Back to login,Späť na prihlásenie,
Auth - Professional OTP Verify,MESSAGE,Text,If you don't receive the code?,Nedostali ste overovací kód?,
Auth - Professional OTP Verify,MESSAGE,Link text,Resend Code,Odoslať overovací kód znova,
,,,,,
Auth - Review Details,PAGE HEADER,Heading,Review Your Details,Skontrolujte svoje údaje,
Auth - Review Details,PAGE HEADER,Subheading,Please review your information before submitting,Pred odoslaním si skontrolujte svoje údaje,
Auth - Review Details,SECTIONS,Section heading,Personal Information,Osobné údaje,
Auth - Review Details,SECTIONS,Section heading,Additional Information,Doplňujúce informácie,
Auth - Review Details,SECTIONS,Section heading,Legal / Invoice Details,Fakturačné údaje,
Auth - Review Details,BUTTON,Button text,Submit,Odoslať,
Auth - Review Details,BUTTON,Button text,Edit,Upraviť,
,,,,,
Auth - Sign Up User,PAGE HEADER,Heading,Create Account,Vytvoriť účet,
Auth - Sign Up User,PAGE HEADER,Subheading,Sign up as a user to find photographers and videographers,Zaregistrujte sa ako používateľ a nájdite fotografov a kameramanov,
Auth - Sign Up User,FORM,Label,Full Name,Celé meno,
Auth - Sign Up User,FORM,Validation message,Full Name is required,Celé meno je povinné,
Auth - Sign Up User,FORM,Placeholder,Enter your full name,Zadajte svoje celé meno,
Auth - Sign Up User,FORM,Label,Email,E-mail,
Auth - Sign Up User,FORM,Validation message,Email is required,E-mail je povinný,
Auth - Sign Up User,FORM,Placeholder,Enter your email,Zadajte svoj e-mail,
Auth - Sign Up User,FORM,Label,Password,Heslo,
Auth - Sign Up User,FORM,Validation message,Password is required,Heslo je povinné,
Auth - Sign Up User,FORM,Placeholder,Enter your password,Zadajte svoje heslo,
Auth - Sign Up User,FORM,Label,Confirm Password,Potvrdenie hesla,
Auth - Sign Up User,FORM,Validation message,Confirm Password is required,Potvrdenie hesla je povinné,
Auth - Sign Up User,FORM,Placeholder,Confirm your password,Potvrďte svoje heslo,
Auth - Sign Up User,FORM,Validation message,Password does not match!,Heslá sa nezhodujú!,
Auth - Sign Up User,FORM,Label,Town/City,Mesto,
Auth - Sign Up User,FORM,Placeholder,Select your town,Vyberte svoje mesto,
Auth - Sign Up User,FORM,Validation message,Please select a town,"Vyberte, prosím, mesto",
Auth - Sign Up User,BUTTON,Button text,Sign Up,Zaregistrovať sa,
Auth - Sign Up User,TOAST,Toast loading message,wait a moment...,"Čakajte, prosím...",
Auth - Sign Up User,TOAST,Toast success message,Account created successfully!,Účet bol úspešne vytvorený!,
Auth - Sign Up User,LINKS,Text,Already have an account?,Už máte účet?,
Auth - Sign Up User,LINKS,Link text,Sign In,Prihlásiť sa,
,,,,,
Auth - Sign Up User OTP Verify,PAGE HEADER,Heading,Verify Email,Overenie e-mailu,
Auth - Sign Up User OTP Verify,PAGE HEADER,Subheading,Enter the OTP sent to your email,Zadajte overovací kód odoslaný na váš e-mail ,
Auth - Sign Up User OTP Verify,FORM,Label,OTP Code,Overovací kód,
Auth - Sign Up User OTP Verify,FORM,Placeholder,Enter OTP,Zadajte overovací kód,
Auth - Sign Up User OTP Verify,FORM,Validation message,OTP is required,Overovací kód je povinný,
Auth - Sign Up User OTP Verify,BUTTON,Button text,Verify,Overiť,
Auth - Sign Up User OTP Verify,TOAST,Toast success message,OTP verified successfully!,Overovací kód bol úspešne overený!,
Auth - Sign Up User OTP Verify,TOAST,Toast loading message,wait a moment...,"Čakajte, prosím...",
,,,,,
Auth - Forgot Password OTP Verify,PAGE HEADER,Heading,Verify OTP,Overiť overovací kód kód,
Auth - Forgot Password OTP Verify,PAGE HEADER,Subheading,Enter the OTP sent to your email,Zadajte overovací kód odoslaný na váš e-mail ,
Auth - Forgot Password OTP Verify,FORM,Label,OTP Code,overovací kód,
Auth - Forgot Password OTP Verify,FORM,Placeholder,Enter OTP,Zadajte overovací kód,
Auth - Forgot Password OTP Verify,FORM,Validation message,OTP is required,Overovací kód je povinný,
Auth - Forgot Password OTP Verify,BUTTON,Button text,Verify OTP,Overiť overovací kód,
Auth - Forgot Password OTP Verify,TOAST,Toast success message,OTP verified successfully!,Overovací kód bol úspešne overený!,
Auth - Forgot Password OTP Verify,TOAST,Toast loading message,wait a moment...,"Čakajte, prosím...",
Auth - Forgot Password OTP Verify,LINKS,Link text,Back to login,Späť na prihlásenie,
Auth - Forgot Password OTP Verify,MESSAGE,Link text,Resend Code,Odoslať overovací kód znova,
