Page,Section,,English,slovenčina ,Remark
Home Page,TESTIMONIAL CARD,Image alt text,"alt=""Profile Image""","alt=""Profilový obrázok""",
Home Page,FAQ SECTION,Section header title,Frequently asked questions,Často kladené otázky,
Home Page,FAQ SECTION,Section header description,Everything you need to know about the product and billing.,"Všetko, čo potrebujete vedieť o službe a platbách.",
Home Page,FAQ SECTION,Tab label,Clients,Klienti,
Home Page,FAQ SECTION,Tab label,Photographer/Videographer,Fotografi/Kameramani,
Home Page,FAQ - CLIENTS,Question,How does ordering a photographer or videographer work?,Ako prebieha objednanie fotografa alebo videografa?,
Home Page,FAQ - CLIENTS,Question,How much does photography or video cost?,Koľko stojí fotenie alebo natáčanie?,
Home Page,FAQ - CLIENTS,Question,What should I do if there's a problem with my order?,"Čo mám robiť, ak nastane problém s mojou objednávkou?",
Home Page,FAQ - CLIENTS,Question,What if the result doesn't meet my expectations?,Čo ak výsledok nesplní moje očakávania?,
Home Page,FAQ - CLIENTS,Answer,First you select a category or specific professional. On their profile you can view their portfolio and estimated prices. Ordering works in two ways: by selecting a ready-made package or by sending a non-binding request via a form. After agreeing on the price quote payment is made in advance. The money is held by the platform throughout the collaboration and is released only after the service is delivered and confirmed.,"Najprv si vyberiete kategóriu alebo konkrétneho fotografa či kameramana. Na jeho profile si môžete pozrieť portfólio, štýl práce a orientačné ceny.

Objednanie funguje dvoma spôsobmi: môžete si vybrať hotový balík alebo odoslať nezáväznú požiadavku cez formulár. Po odsúhlasení cenovej ponuky sa platba uhrádza vopred. Peniaze sú počas spolupráce bezpečne držané platformou a fotografovi alebo kameramanovi sa uvoľnia až po dodaní a potvrdení služby.",
Home Page,FAQ - CLIENTS,Answer,The price varies depending on the scope of service the professional's experience and the location of the shoot or filming. An estimated price is listed on the profile. The exact amount is agreed upon after sending the request. The price also includes a service fee which covers support problem resolution and secure payment processing.,"Cena závisí od rozsahu služby, skúseností fotografa alebo kameramana a miesta fotenia či natáčania. Orientačnú cenu nájdete na profile. Presná suma sa dohodne po odoslaní požiadavky. Cena zahŕňa aj servisný poplatok, ktorý pokrýva podporu, riešenie prípadných problémov a bezpečné spracovanie platby.",
Home Page,FAQ - CLIENTS,Answer,In case of questions or uncertainties support is available at cvak@frafol.sk.,V prípade otázok alebo nejasností je k dispozícii podpora na cvak@frafol.sk.,
Home Page,FAQ - CLIENTS,Answer,If the result does not match the agreed scope of service simply contact support at cvak@frafol.sk. The payment remains held until the situation is clarified. The platform helps mediate a solution between the client and the professional.,"Ak výsledok nezodpovedá dohodnutému rozsahu služby, kontaktujte podporu na cvak@frafol.sk. Platba zostáva zadržaná, kým sa situácia nevyjasní. Platforma pomáha sprostredkovať riešenie medzi klientom a fotografom alebo kameramanom.",
Home Page,FAQ - PHOTOGRAPHER/VIDEOGRAPHER,Question,How does registration and profile setup work?,Ako funguje registrácia a nastavenie profilu?,
Home Page,FAQ - PHOTOGRAPHER/VIDEOGRAPHER,Question,What if my category isn't on the platform or another problem arises?,Čo ak moja kategória nie je na platforme alebo nastane iný problém?,
Home Page,FAQ - PHOTOGRAPHER/VIDEOGRAPHER,Question,When does the payment disbursement occur?,Kedy dochádza k vyplateniu platby?,
Home Page,FAQ - PHOTOGRAPHER/VIDEOGRAPHER,Question,How are photos or videos delivered?,Ako sa doručujú fotografie alebo videá?,
Home Page,FAQ - PHOTOGRAPHER/VIDEOGRAPHER,Answer,During registration you fill in basic information add a short description and select service categories along with an estimated price range. The profile then goes through verification. After approval you can add your portfolio and bank details for payment disbursement. The portfolio is used to showcase your work and style. It includes an introductory video (introduction or work montage) sample works visible before opening the profile and a complete portfolio available directly on the profile. This allows clients to get an idea before the first contact.,"Pri registrácii vyplníte základné údaje, pridáte krátky popis a vyberiete kategórie služieb spolu s orientačným cenovým rozpätím. Profil následne prejde overením. Po schválení môžete pridať portfólio a bankové údaje potrebné na vyplatenie platby.

Portfólio slúži na prezentáciu Vašej práce a štýlu. Môže obsahovať úvodné video, predstavenie alebo zostrih práce, ukážkové práce viditeľné pred otvorením profilu a kompletné portfólio dostupné priamo na profile. Klienti si tak môžu vytvoriť lepšiu predstavu ešte pred prvým kontaktom.",
Home Page,FAQ - PHOTOGRAPHER/VIDEOGRAPHER,Answer,If the requested category is not currently on the platform you can contact support at cvak@frafol.sk. Categories are continuously added based on needs and demand. You can also write to this email in case of any questions uncertainties or problems with a client.,"Ak požadovaná kategória momentálne nie je na platforme, kontaktujte podporu na cvak@frafol.sk. Kategórie sa priebežne dopĺňajú podľa potrieb a dopytu. Na tento e-mail môžete napísať aj v prípade akýchkoľvek otázok, nejasností alebo problémov s klientom.",
Home Page,FAQ - PHOTOGRAPHER/VIDEOGRAPHER,Answer,The client pays for the service in advance. The payment is held by the platform during the collaboration. After the service is delivered and approved the money is paid out within 15 calendar days. The platform does not take a commission from the professional's fee. The client pays a separate service fee which covers platform operation support and secure payment processing.,"Klient platí za službu vopred. Platba je počas spolupráce držaná platformou. Po dodaní a schválení služby sú peniaze vyplatené do 15 kalendárnych dní.

Platforma si neberie províziu z odmeny fotografa alebo kameramana. Klient platí samostatný servisný poplatok, ktorý pokrýva prevádzku platformy, podporu a bezpečné spracovanie platby.",
Home Page,FAQ - PHOTOGRAPHER/VIDEOGRAPHER,Answer,Finished work is sent via messages. It is recommended to use external storage services that do not reduce file quality (e.g.,"Po označení objednávky ako dodanej fotograf alebo kameraman vyplní formulár, kde uvedie, kde klient nájde fotografie alebo videá, prípadne priloží odkaz na externé úložisko, napríklad My Air Bridge, Úschovňa alebo Google Drive. Klient tak dostane súbory v plnej kvalite a môže si ich jednoducho stiahnuť.",
Home Page,TALENTED PROFESSIONALS SECTION,Section header title,From Our Talented Professionals,Od našich talentovaných fotografov a kameramanov,
Home Page,FOOTER,Newsletter heading,Join our,Prihláste sa na odber noviniek,
Home Page,FOOTER,Input placeholder,Enter your email,Zadajte svoj e-mail,
Home Page,FOOTER,Button,Subscribe,Prihlásiť sa na odber,
Home Page,FOOTER,Checkbox label,I hereby consent to receiving a free newsletter to the email address provided,Týmto súhlasím so zasielaním bezplatného odberu noviniek na poskytnutú e-mailovú adresu.,
Home Page,FOOTER,Footer heading,Privacy & Terms,Ochrana súkromia a podmienky,
Home Page,FOOTER,Footer link text,Terms of Service Marketplace,Všeobecné obchodné podmienky Online trh,
Home Page,FOOTER,Footer link text,GDPR,GDPR,
Home Page,FOOTER,Footer link text,Terms of Service Conceptural,Všeobecné obchodné podmienky Zmluvné vzťahy,
Home Page,FOOTER,Already in Slovak - Footer link,Funkčnosť a kompatibilita webu,Funkčnosť a kompatibilita webu,
Home Page,FOOTER,Already in Slovak - Footer link,Algoritmus vyhľadávania,Algoritmus vyhľadávania,
Home Page,FOOTER,Footer heading,For Clients,Pre klientov,
Home Page,FOOTER,Footer link text,How Ordering Works,Ako funguje objednávanie,
Home Page,FOOTER,Footer heading,Company,Spoločnosť,
Home Page,FOOTER,Footer link text,About Us,O nás,
Home Page,FOOTER,Footer link text,Explore Photography,Preskúmať fotografiu,
Home Page,FOOTER,Footer link text,Explore Videography,Preskúmať video,
Home Page,FOOTER,Footer heading,For Creators,Pre tvorcov,
Home Page,FOOTER,Footer link text,How It Works,Ako to funguje,
Home Page,FOOTER,Footer heading,Support & Info,Podpora a informácie,
Home Page,FOOTER,Footer link text,Contact Us,Kontaktujte nás,
Home Page,FOOTER,Footer link text,Report for a illegal content,Nahlásiť nezákonný obsah  ,
Home Page,FOOTER,Footer link text,Give Feedback,Poslať spätnú väzbu,
Home Page,FOOTER,Copyright text,© FRAFOL. All rights reserved.,© FRAFOL. Všetky práva vyhradené.,
Home Page,FOOTER REPORT MODAL,Toast loading message,wait a moment...,Chvíľu počkajte...,
Home Page,FOOTER REPORT MODAL,Toast success message,Subscribed successfully!,Úspešne ste sa prihlásili na odber!,
Home Page,FOOTER REPORT MODAL,Toast error message,Something went wrong! Please try again.,Niečo sa pokazilo! Skúste to znova.,
Home Page,FOOTER REPORT MODAL,Modal default description,Are You Sure You want to Reject This Order ?,Naozaj chcete zamietnuť túto objednávku?,
Home Page,FOOTER REPORT MODAL,Form label,Full Name,Celé meno,
Home Page,FOOTER REPORT MODAL,Input placeholder,Enter Full Name,Zadajte celé meno,
Home Page,FOOTER REPORT MODAL,Validation message,Full Name is required,Celé meno je povinné,
Home Page,FOOTER REPORT MODAL,Form label,Email,E-mail,
Home Page,FOOTER REPORT MODAL,Input placeholder,Enter Email,Zadajte e-mail,
Home Page,FOOTER REPORT MODAL,Validation message,Email is required,E-mail je povinný,
Home Page,FOOTER REPORT MODAL,Form label,Website URL Address,URL adresa webovej stránky,
Home Page,FOOTER REPORT MODAL,Input placeholder,Enter Website URL Address,Zadajte URL adresu webovej stránky,
Home Page,FOOTER REPORT MODAL,Validation message,Website URL Address is required,URL adresa webovej stránky je povinná,
Home Page,FOOTER REPORT MODAL,Form label,Additional information allowing the identification of the illegal content,Doplňujúce informácie umožňujúce identifikáciu nezákonného obsahu,
Home Page,FOOTER REPORT MODAL,Input placeholder,Enter Reason,Zadajte dôvod,
Home Page,FOOTER REPORT MODAL,Validation message,Reason is required,Dôvod je povinný,
Home Page,FOOTER REPORT MODAL,Upload label,Attach a screenshot of the illegal content (optional),Priložte snímku obrazovky nezákonného obsahu (nepovinné),
Home Page,FOOTER REPORT MODAL,Form sub-header,Your message,Vaša správa,
Home Page,FOOTER REPORT MODAL,Form label,Please provide all reasons including a sufficiently substantiated explanation of those reasons why you consider the information you have provided to constitute illegal content.,"Uveďte prosím všetky dôvody, vrátane dostatočne podloženého vysvetlenia týchto dôvodov, prečo považujete Vami uvedené informácie za nezákonný obsah.",
Home Page,FOOTER REPORT MODAL,Input placeholder,Enter Your message,Zadajte svoju správu,
Home Page,FOOTER REPORT MODAL,Validation message,message is required,Správa je povinná,
Home Page,FOOTER REPORT MODAL,Checkbox label,hereby confirm that I genuinely believe that the information and statements contained in this notice are accurate and complete.,"Týmto potvrdzujem, že sa v dobrej viere domnievam, že informácie a tvrdenia, ktoré sú v tomto oznámení uvedené sú presné a úplné.",
Home Page,FOOTER REPORT MODAL,Button,Submit,Odoslať,
Home Page,FOOTER FEEDBACK MODAL,Toast loading message,Wait a moment...,Chvíľu počkajte...,
Home Page,FOOTER FEEDBACK MODAL,Toast success message,Feedback submitted successfully!,Spätná väzba bola úspešne odoslaná!,
Home Page,FOOTER FEEDBACK MODAL,Toast error message,Something went wrong! Please try again.,Niečo sa pokazilo! Skúste to znova.,
Home Page,FOOTER FEEDBACK MODAL,Modal title,Give Feedback,Poslať spätnú väzbu,
Home Page,FOOTER FEEDBACK MODAL,Form label,Feedback,Spätná väzba,
Home Page,FOOTER FEEDBACK MODAL,Input placeholder,Enter Feedback,Zadajte spätnú väzbu,
Home Page,FOOTER FEEDBACK MODAL,Validation message,Feedback is required,Spätná väzba je povinná,
Home Page,FOOTER FEEDBACK MODAL,Button,Submit,Odoslať,
,,,,,
,,,,,
,,,,,
About Us,PAGE HEADER,Section header title,About Us,O nás,
About Us,PAGE HEADER,Description,We are not just another ordinary listing website. We are a community and platform where talent meets demand. Photographers and videographers who love their craft — and clients who want to capture what matters most.,"Nie sme len ďalší obyčajný katalógový web. Sme komunita a platforma, kde sa talent stretáva s dopytom. Spájame fotografov a videografov, ktorí milujú tvoriť, s klientmi, ktorí chcú zachytiť to, na čom im najviac záleží.",
About Us,CARD 1,Section header,Why do we do this?,Prečo to robíme?,
About Us,CARD 1,,Because we believe in quality,Pretože veríme v kvalitu,
About Us,CARD 2,Section header,Our Vision,Naša vízia,
About Us,CARD 2,,We aim to build the largest community of photographers and videographers in Slovakia,Naším cieľom je vybudovať najväčšiu komunitu fotografov a videografov na Slovensku,
About Us,CARD 3,Section header,For Photographers and Videographers,Pre fotografov a videografov,
About Us,CARD 3,,This is not just a platform but a community that connects creators,"Toto nie je len platforma, ale komunita, ktorá spája tvorcov",
About Us,CARD 3,Button text,Join As a Photographer/Videographer,Pridajte sa ako fotograf/videograf,
About Us,CARD 4,Section header,For Clients,Pre klientov,
About Us,CARD 4,corporate event,Looking for a photographer or videographer for a wedding,Hľadáte fotografa alebo videografa na svadbu,
About Us,CARD 4,Button text,Find a Photographer/Videographer,Nájsť fotografa/videografa,
About Us,CARD 5,Section header,What now?,Čo ďalej?,
About Us,CARD 5,,If you're a photographer or videographer,Ak ste fotograf alebo videograf,
,,,,,
,,,,,
,,,,,
Cart,PAGE HEADER,Page title,Cart,Košík,
Cart,ORDER SUMMARY,Heading,Order Summary,Zhrnutie objednávky,
Cart,ORDER SUMMARY,Heading,Pricing Information,Informácie o cene,
Cart,ORDER SUMMARY,Label,Sub Total:,Medzisúčet:,
Cart,ORDER SUMMARY,Label,Shipping:,Doprava:,
Cart,ORDER SUMMARY,Label,Total,Celkom,
Cart,ORDER SUMMARY,Label,Condition:,Stav:,
Cart,ORDER SUMMARY,Label,Seller:,Predajca:,
Cart,ORDER SUMMARY,Label,Price:,Cena:,
Cart,ORDER SUMMARY,Alt text,"alt=""product""","alt=""produkt""",
Cart,FORM - DELIVERY INFORMATION,Label,Name,Meno,
Cart,FORM - DELIVERY INFORMATION,Validation message,Name is required,Meno je povinné,
Cart,FORM - DELIVERY INFORMATION,Placeholder,Enter your full name,Zadajte svoje celé meno,
Cart,FORM - DELIVERY INFORMATION,Label,Shipping Address,Dodacia adresa,
Cart,FORM - DELIVERY INFORMATION,Validation message,Shipping Address is required,Dodacia adresa je povinná,
Cart,FORM - DELIVERY INFORMATION,Placeholder,Enter your shipping address,Zadajte svoju dodaciu adresu,
Cart,FORM - DELIVERY INFORMATION,Label,Zip Code,PSČ,
Cart,FORM - DELIVERY INFORMATION,Validation message,Zip Code is required,PSČ je povinné,
Cart,FORM - DELIVERY INFORMATION,Placeholder,Enter your zip code,Zadajte svoje PSČ,
Cart,FORM - DELIVERY INFORMATION,Label,Town,Mesto,
Cart,FORM - DELIVERY INFORMATION,Validation message,Town is required,Mesto je povinné,
Cart,FORM - DELIVERY INFORMATION,Placeholder,Enter your town,Zadajte svoje mesto,
Cart,FORM - DELIVERY INFORMATION,Label,Phone Number,Telefónne číslo,
Cart,FORM - DELIVERY INFORMATION,Validation message,Phone Number is required,Telefónne číslo je povinné,
Cart,FORM - DELIVERY INFORMATION,Placeholder,Enter your phone number,Zadajte svoje telefónne číslo,
Cart,FORM - DELIVERY INFORMATION,Label,Email address,E-mailová adresa,
Cart,FORM - DELIVERY INFORMATION,Validation message,Email is required,E-mail je povinný,
Cart,FORM - DELIVERY INFORMATION,Validation message,Enter a valid email,Zadajte platný e-mail,
Cart,FORM - DELIVERY INFORMATION,Placeholder,Enter your email,Zadajte svoj e-mail,
Cart,FORM - DELIVERY INFORMATION,Checkbox text,I am login as company,Nakupujem ako firma  ,
Cart,FORM - DELIVERY INFORMATION,Label,Company Name,Názov firmy,
Cart,FORM - DELIVERY INFORMATION,Validation message,Company Name is required,Názov firmy je povinný,
Cart,FORM - DELIVERY INFORMATION,Placeholder,Enter Company Name,Zadajte názov firmy,
,,,,,
,,,,,
,,,,,
Contact Us  ,PAGE HEADER,Heading,Contact us,Kontaktujte nás,
Contact Us  ,PAGE HEADER,Description,Our expert will reach out to discuss your needs.,Náš tím sa vám ozve a dohodne s vami ďalší postup.,
Contact Us  ,CONTACT INFO,Company name,FRAFOL s.r.o.,FRAFOL s.r.o.,
Contact Us  ,CONTACT INFO,Address,Vysokoškolákov 8556/33B 010 08 Žilina,Vysokoškolákov 8556/33B 010 08 Žilina,
Contact Us  ,CONTACT INFO,Registration number,IČO: 57113904,IČO: 57113904,
Contact Us  ,CONTACT INFO,Tax ID,DIČ: 2122571286,DIČ: 2122571286,
Contact Us  ,CONTACT INFO,Email,cvak@frafol.sk,cvak@frafol.sk,
Contact Us  ,CONTACT INFO,Phone,0917 174 707,0917 174 707,
Contact Us  ,CONTACT FORM,Toast loading message,Wait a moment...,Počkajte chvíľu...  ,
Contact Us  ,CONTACT FORM,"Toast success message (Note: Already in English, verify if Slovak version exists)",Message sent successfully!,Správa bola úspešne odoslaná!,
Contact Us  ,CONTACT FORM,Toast error message,Something went wrong! Please try again.,"Niečo sa pokazilo! Skúste to, prosím, znova.",
Contact Us  ,CONTACT FORM,Label,Name,Meno,
Contact Us  ,CONTACT FORM,Validation message,Full Name is Required,Celé meno je povinné.,
Contact Us  ,CONTACT FORM,Placeholder,Enter your full name,Zadajte svoje celé meno.,
Contact Us  ,CONTACT FORM,Label,Email,E-mail,
Contact Us  ,CONTACT FORM,Validation message,Email is Required,E-mail je povinný.,
Contact Us  ,CONTACT FORM,Placeholder,Enter your email,Zadajte svoj e-mail.,
Contact Us  ,CONTACT FORM,Label,Message,Správa,
Contact Us  ,CONTACT FORM,Validation message,Message is Required,Správa je povinná.,
Contact Us  ,CONTACT FORM,Placeholder,Enter your Message,Zadajte svoju správu.,
Contact Us  ,CONTACT FORM,Button text,Send Message,Odoslať správu,
,,,,,
,,,,,
,,,,,
Data Protection,PAGE HEADER,Page title,General Data Protection Regulation.,Všeobecné nariadenie o ochrane osobných údajov.,
,,,,,
,,,,,
,,,,,
Framework Agreement,PAGE HEADER,Page title (partially in Slovak),Framework Agreement/rámcová zmluva,,"We do not use this, as I mentioned priviously."
,,,,,
,,,,,
,,,,,
How Ordering Works,PAGE HEADER,Page title,How Ordering Works,Ako funguje objednávanie,
,,,,,
,,,,,
,,,,,
How It Works,PAGE HEADER,Page title,How It Works,Ako to funguje,
,,,,,
,,,,,
,,,,,
Marketplace,PAGE HEADER,Section header title,Market Place,Bazár,
Marketplace,PAGE HEADER,Description,Browse and buy equipment from professionals in the industry.,"Prezrite si ponuku techniky a nakúpte od fotografov a kameramanov.
",
Marketplace,ADD GEAR BUTTON,Button text,Add New Gear,Pridať nové príslušenstvo ,
Marketplace,TABS,Tab label,All,Všetko,
Marketplace,NO RESULTS,Heading,No result found,Nenašiel sa žiadny výsledok,
Marketplace,NO RESULTS,Description,We can't find any item matching your search,Nenašli sme žiadnu položku zodpovedajúcu vášmu vyhľadávaniu.,
Marketplace,PAGINATION,Loading state,Loading...,Načítava sa...,
,,,,,
,,,,,
,,,,,
Photography,METADATA,Page title (metadata),Frafol - Photography,Frafol – Fotografia,
Photography,BANNER,Section header,Browse All Photography Categories,Prezrite si všetky foto kategórie,
Photography,BANNER,Description,Explore our complete range of specialized photography services to match your specific project needs.,"Prezrite si našu ponuku fotografických služieb a nájdite fotografa podľa toho, čo práve potrebujete.",
Photography,SEARCH,Search placeholder,Search,Hľadať,
Photography,CARD FALLBACK,Fallback text,Category Title,Názov kategórie,
Photography,CARD FALLBACK,Fallback text,Category Sub Title,Podnázov kategórie,
Photography,CARD FALLBACK,Alt text fallback,Category Image,Obrázok kategórie,
Photography,BUTTON,Button text,See All Photographers,Zobraziť všetkých fotografov,
Photography,NO RESULTS,Heading,No result found,Nenašiel sa žiadny výsledok,
Photography,NO RESULTS,Description,We can't find any item matching your search,Nenašli sme žiadnu položku zodpovedajúcu vášmu vyhľadávaniu.,
Photography,PAGINATION,Loading state,Loading...,Načítava sa...,
,,,,,
,,,,,
,,,,,
Professionals,PAGE HEADER,Page title (metadata),Frafol - Professionals,Frafol – Tvorcovia,
Professionals,SECTION HEADER,Section header,Our Professionals,Naši tvorcovia,
Professionals,SECTION HEADER,Description,Discover our top-rated Professionals,Objavte našich najlepšie hodnotených tvorcov,
Professionals,BACK BUTTON,Button text,Back To Categories,Späť na kategórie,
Professionals,CARD ROLES,Role label,Videographer & Photographer,Fotograf a Kameraman,
Professionals,CARD ROLES,Role label,Photographer,Fotograf,
Professionals,CARD ROLES,Role label,Videographer,Kameraman,
Professionals,NO RESULTS,Heading,No result found,Nenašiel sa žiadny výsledok,
Professionals,NO RESULTS,Description,We can't find any item matching your search,Nenašli sme žiadnu položku zodpovedajúcu vášmu vyhľadávaniu.,
Professionals,PAGINATION,Loading state,Loading...,Načítava sa...,
,,,,,
,,,,,
,,,,,
,METADATA,Page title (metadata),Frafol - Videography,Frafol – Video,
,BANNER,Section header,Browse All Videography Categories,Prezrite si všetky video kategórie,
,BANNER,Description,Explore our complete range of specialized videography services to match your specific project needs.,"Prezrite si našu ponuku video služieb a nájdite kameramana podľa toho, čo práve potrebujete.",
,SEARCH,Search placeholder,Search,Hľadať,
,CARD FALLBACK,Fallback text,Category Title,Názov kategórie,
,CARD FALLBACK,Fallback text,Category Sub Title,Podnázov kategórie,
,CARD FALLBACK,Alt text fallback,Category Image,Obrázok kategórie,
,BUTTON,Button text,See All Videographers,Zobraziť všetkých kameramanov,
,NO RESULTS,Heading,No result found,Nenašiel sa žiadny výsledok,
